
*****NOUN DICT*****

Simurum 	 SN 	 1
ikud 	 N 	 fish_oil
iba 	 N 	 oil_ration
Luniglagare 	 PN 	 Luniglagare
Dingira 	 PN 	 Dingira
sullim 	 N 	 spice_type
zidIL 	 N 	 flour_type
kataba 	 N 	 double_mouth
Lugaligihusz 	 PN 	 Lugaligihusz
GANAgud 	 FN 	 1
Ayabbani 	 PN 	 Ayabbani
E'ansze 	 FN 	 1
Abuka 	 FN 	 1
Naramsuen 	 RN 	 1
Udumulli 	 FN 	 1
Iribare 	 PN 	 Iribare
Urasarluhi 	 PN 	 Urasarluhi
Szulgirmiszar 	 PN 	 Szulgirmiszar
Iszkurkugal 	 PN 	 Iszkurkugal
Nannaludu 	 PN 	 Nannaludu
Unapszen 	 PN 	 Unapszen
Abilsuen 	 PN 	 Abilsuen
Aradnanna 	 PN 	 Aradnanna
Tultapada 	 PN 	 Tultapada
isz 	 N 	 flour_type
Urigalim 	 PN 	 Urigalim
Udaya 	 PN 	 Udaya
gagsum 	 N 	 arrow_type
imba 	 N 	 deficit
gagsisa 	 N 	 arrow
Dikumiszar 	 PN 	 Dikumiszar
